job_id,job_description,resume,Match Score (%),Gap Topics,Study Material Link
JID039,"Machine Learning Engineer -  Angular, Git, Kubernetes, REST APIs, Java, CSS.","C++, Kubernetes, Angular, AWS, Git, Machine Learning.",83.5364818572998,"java, rest, css","https://www.javatpoint.com/java-tutorial, https://restfulapi.net/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID064,"Embedded Systems Engineer -  SQL, REST APIs, Angular, HTML, C#, Python, Java, React, Agile Methodologies.","Agile Methodologies, Git, CSS, C++, AWS, Linux, HTML, Node.js, Azure, REST APIs.",82.9973042011261,"react, python, java, sql","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/"
JID065,"Cloud Engineer -  Docker, AWS, Agile Methodologies, Java, Machine Learning, CI/CD, Angular, C++, Data Analysis, Linux.","Machine Learning, Angular, Docker, REST APIs, SQL, Data Analysis, Agile Methodologies, C#.",80.26536703109741,"aws, java, linux","https://aws.amazon.com/training/, https://www.javatpoint.com/java-tutorial, https://www.edx.org/learn/linux"
JID028,"Embedded Systems Engineer -  GCP, CSS, C#, React, Kubernetes, SQL, Agile Methodologies, Java.","Agile Methodologies, GCP, AWS, CSS, Linux, C#, React, Angular, Kubernetes.",79.86392974853516,"java, sql","https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/"
JID004,"Software Engineer -  NoSQL, Linux, AWS, C#, Docker, Machine Learning, SQL.","Docker, Angular, SQL, HTML, Azure, Machine Learning.",79.03826832771301,"aws, linux","https://aws.amazon.com/training/, https://www.edx.org/learn/linux"
JID097,"Full Stack Developer -  Java, JavaScript, AWS, Machine Learning, Agile Methodologies, GCP, Git, SQL, C#, Node.js.","SQL, NoSQL, Agile Methodologies, Azure, Git, C#, Angular, AWS, JavaScript, GCP.",76.40441060066223,java,https://www.javatpoint.com/java-tutorial
JID089,"DevOps Engineer -  Data Analysis, CI/CD, Git, Java, Docker, HTML, NoSQL, C++, SQL, CSS.","Agile Methodologies, Data Analysis, C++, GCP, Linux, Python, Azure, CSS, NoSQL.",74.96659755706787,"java, sql, docker","https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/, https://www.docker.com/101-tutorial"
JID066,"Full Stack Developer -  Machine Learning, Docker, CSS, CI/CD, Data Analysis, React, Java.","CI/CD, C#, Data Analysis, React, AWS, Machine Learning, Docker, Kubernetes, Agile Methodologies.",74.69840049743652,"java, css","https://www.javatpoint.com/java-tutorial, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID082,"Machine Learning Engineer -  React, Angular, Node.js, Azure, REST APIs.","Kubernetes, REST APIs, Azure, Agile Methodologies, Linux, Machine Learning, JavaScript, Git.",74.67420101165771,react,https://reactjs.org/docs/getting-started.html
JID055,"QA Engineer -  Machine Learning, AWS, Azure, C++, Docker, Agile Methodologies, CSS.","Git, SQL, AWS, CSS, Azure, Angular, NoSQL, Docker, Machine Learning.",74.37411546707153,,
JID091,"Frontend Developer -  Linux, CI/CD, AWS, Java, Data Analysis, Docker, Azure, Git.","Java, C++, Kubernetes, Docker, AWS, Machine Learning, Azure.",73.16334843635559,linux,https://www.edx.org/learn/linux
JID080,"Machine Learning Engineer -  Data Analysis, Agile Methodologies, Angular, C++, Azure, Docker, AWS, SQL.","CSS, Agile Methodologies, Linux, Java, Azure, Docker, Data Analysis, Git.",72.6971983909607,"aws, sql","https://aws.amazon.com/training/, https://www.w3schools.com/sql/"
JID095,"Data Engineer -  AWS, Docker, Angular, SQL, C#, Git, Agile Methodologies, C++, REST APIs.","SQL, Azure, Angular, Linux, AWS, Node.js, Kubernetes, NoSQL, Java.",72.61157035827637,"rest, docker","https://restfulapi.net/, https://www.docker.com/101-tutorial"
JID075,"Full Stack Developer -  Azure, Agile Methodologies, Data Analysis, AWS, CI/CD, C++, Machine Learning, Python, Linux.","Agile Methodologies, GCP, CSS, Machine Learning, Data Analysis.",71.94451093673706,"aws, python, linux","https://aws.amazon.com/training/, https://www.learnpython.org/, https://www.edx.org/learn/linux"
JID072,"Software Engineer -  Linux, Azure, Agile Methodologies, HTML, Python, AWS, SQL, Node.js.","AWS, Kubernetes, JavaScript, Python, CI/CD, CSS, HTML, SQL, GCP, Data Analysis.",71.7690110206604,linux,https://www.edx.org/learn/linux
JID044,"Software Engineer -  REST APIs, AWS, Docker, Git, Java, NoSQL.","Kubernetes, CSS, Node.js, React, AWS, REST APIs, C#, Angular, C++.",70.65452337265015,"java, docker","https://www.javatpoint.com/java-tutorial, https://www.docker.com/101-tutorial"
JID002,"Cloud Engineer -  Linux, JavaScript, SQL, GCP, Machine Learning, Data Analysis, C++, REST APIs, Git.","HTML, NoSQL, React, Agile Methodologies, Docker, CI/CD, AWS, Machine Learning, Kubernetes, Data Analysis.",70.38931250572205,"linux, rest, sql","https://www.edx.org/learn/linux, https://restfulapi.net/, https://www.w3schools.com/sql/"
JID058,"Embedded Systems Engineer -  Azure, Node.js, Linux, GCP, Python, Java, Kubernetes, Data Analysis, C#, JavaScript.","NoSQL, AWS, REST APIs, Azure, Java, Data Analysis, Git, Kubernetes.",69.85622644424438,"linux, python","https://www.edx.org/learn/linux, https://www.learnpython.org/"
JID054,"Software Engineer -  Linux, Node.js, C++, React, Python, C#, AWS.","C++, Data Analysis, Node.js, Java, SQL, Kubernetes, AWS, HTML, Agile Methodologies.",69.1741943359375,"linux, python, react","https://www.edx.org/learn/linux, https://www.learnpython.org/, https://reactjs.org/docs/getting-started.html"
JID069,"Data Engineer -  Git, C#, C++, NoSQL, JavaScript, Java, Kubernetes, Node.js, AWS, CSS.","SQL, Node.js, Git, Java, JavaScript, REST APIs, CI/CD, C#, Python.",69.03728246688843,"aws, css","https://aws.amazon.com/training/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID098,"Full Stack Developer -  HTML, Git, Java, Agile Methodologies, AWS, SQL, React, C#, Linux, Kubernetes.","NoSQL, HTML, Linux, Node.js, Kubernetes, Java.",68.98375749588013,"aws, react, sql","https://aws.amazon.com/training/, https://reactjs.org/docs/getting-started.html, https://www.w3schools.com/sql/"
JID085,"Database Administrator -  JavaScript, Machine Learning, Azure, CSS, NoSQL, Java, Kubernetes, SQL.","JavaScript, NoSQL, Data Analysis, C#, Machine Learning, GCP, SQL, REST APIs, Kubernetes, Agile Methodologies.",68.55238080024719,"java, css","https://www.javatpoint.com/java-tutorial, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID094,"Mobile Developer -  NoSQL, Kubernetes, Python, REST APIs, Data Analysis, Angular, Git, React.","Data Analysis, SQL, Angular, CSS, GCP, Git, Java, C#.",68.22264194488525,"react, python, rest","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/, https://restfulapi.net/"
JID041,"Data Engineer -  Git, Data Analysis, Linux, HTML, Angular, AWS, C++, Docker, Python, Kubernetes.","Azure, Git, C++, Python, CI/CD, REST APIs, JavaScript, Kubernetes, SQL.",67.85528659820557,"aws, linux, docker","https://aws.amazon.com/training/, https://www.edx.org/learn/linux, https://www.docker.com/101-tutorial"
JID052,"Mobile Developer -  Java, HTML, Docker, Git, React, GCP, REST APIs, JavaScript.","Java, REST APIs, C#, GCP, Python, CSS, Linux, Docker.",67.43087768554688,react,https://reactjs.org/docs/getting-started.html
JID088,"Software Engineer -  C++, AWS, Java, React, Docker, JavaScript.","Git, Azure, Python, AWS, Agile Methodologies, Node.js, React.",66.46740436553955,"java, docker","https://www.javatpoint.com/java-tutorial, https://www.docker.com/101-tutorial"
JID048,"DevOps Engineer -  CI/CD, Linux, Git, REST APIs, HTML, Agile Methodologies.","CSS, HTML, REST APIs, Python, Kubernetes, Machine Learning, Agile Methodologies, AWS, Git, React.",66.43718481063843,linux,https://www.edx.org/learn/linux
JID049,"Machine Learning Engineer -  Git, REST APIs, Linux, Docker, Java, Kubernetes, Agile Methodologies, Node.js, Azure, Angular.","Agile Methodologies, Machine Learning, AWS, NoSQL, SQL.",66.15290641784668,"linux, rest, java, docker","https://www.edx.org/learn/linux, https://restfulapi.net/, https://www.javatpoint.com/java-tutorial, https://www.docker.com/101-tutorial"
JID033,"Database Administrator -  JavaScript, C#, Python, Machine Learning, Git, Java, Azure, Kubernetes, REST APIs, Angular.","Docker, NoSQL, Azure, Kubernetes, Linux, REST APIs, Node.js, C#, Agile Methodologies.",65.46645164489746,"python, java","https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial"
JID031,"Mobile Developer -  CI/CD, Python, Git, GCP, HTML, REST APIs, Kubernetes, AWS, Docker, NoSQL.","NoSQL, Linux, Azure, Python, REST APIs, Machine Learning, C#, CI/CD.",65.45764207839966,"aws, docker","https://aws.amazon.com/training/, https://www.docker.com/101-tutorial"
JID087,"Full Stack Developer -  Machine Learning, NoSQL, JavaScript, Python, CI/CD, CSS, Azure, C++.","GCP, Node.js, Docker, Machine Learning, Python, React, C#, SQL, Data Analysis, Java.",65.23025631904602,css,https://developer.mozilla.org/en-US/docs/Web/CSS
JID035,"Embedded Systems Engineer -  HTML, CI/CD, Python, Data Analysis, CSS.","HTML, CSS, C++, Machine Learning, React, Data Analysis.",64.91801738739014,python,https://www.learnpython.org/
JID062,"QA Engineer -  React, Azure, Node.js, C++, CSS, CI/CD, Machine Learning.","Azure, Git, Machine Learning, REST APIs, C#.",64.56189155578613,"react, css","https://reactjs.org/docs/getting-started.html, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID060,"Frontend Developer -  Azure, Agile Methodologies, JavaScript, Machine Learning, React, NoSQL, Node.js.","Java, NoSQL, Git, Kubernetes, JavaScript, Azure, Docker, Data Analysis.",63.965749740600586,react,https://reactjs.org/docs/getting-started.html
JID074,"Data Engineer -  HTML, Node.js, Agile Methodologies, React, C++, AWS, Linux, C#, Kubernetes.","C++, CI/CD, SQL, HTML, Linux, GCP, JavaScript, Node.js.",63.59838247299194,"aws, react","https://aws.amazon.com/training/, https://reactjs.org/docs/getting-started.html"
JID081,"Backend Developer -  HTML, Linux, Angular, C#, C++, Data Analysis, CSS, CI/CD, Python.","Agile Methodologies, C++, HTML, REST APIs, React, Angular, CI/CD, NoSQL.",63.517773151397705,"linux, python, css","https://www.edx.org/learn/linux, https://www.learnpython.org/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID079,"Frontend Developer -  Java, Git, React, Node.js, Machine Learning, Angular, C#, C++, JavaScript, Python.","Machine Learning, AWS, Docker, C++, C#, SQL, Angular.",63.20292949676514,"react, python, java","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial"
JID071,"Data Engineer -  Node.js, CI/CD, Docker, CSS, React, REST APIs, Agile Methodologies, Machine Learning, AWS, Linux.","AWS, HTML, Data Analysis, Docker, NoSQL.",63.13573122024536,"linux, react, rest, css","https://www.edx.org/learn/linux, https://reactjs.org/docs/getting-started.html, https://restfulapi.net/, https://developer.mozilla.org/en-US/docs/Web/CSS"
JID050,"Software Engineer -  Linux, SQL, Git, React, Python, REST APIs, GCP, Angular.","Java, GCP, Data Analysis, AWS, Linux, Python, Kubernetes, SQL, CSS, CI/CD.",62.7598762512207,"react, rest","https://reactjs.org/docs/getting-started.html, https://restfulapi.net/"
JID019,"Machine Learning Engineer -  C#, JavaScript, React, HTML, GCP, Angular, C++, Linux.","GCP, Angular, C#, Java, Git, Agile Methodologies.",62.692439556121826,"react, linux","https://reactjs.org/docs/getting-started.html, https://www.edx.org/learn/linux"
JID014,"Embedded Systems Engineer -  NoSQL, Docker, Kubernetes, Node.js, C++, CSS, Agile Methodologies.","AWS, Node.js, Angular, Azure, Git, C++, C#, CSS, Java.",62.524521350860596,docker,https://www.docker.com/101-tutorial
JID077,"Mobile Developer -  Data Analysis, JavaScript, GCP, C#, Azure, Kubernetes, Angular, AWS, Node.js.","Agile Methodologies, CI/CD, Azure, Data Analysis, AWS, Java.",62.136077880859375,,
JID026,"QA Engineer -  CI/CD, AWS, Azure, Docker, NoSQL, GCP, Data Analysis.","Data Analysis, REST APIs, React, Java, Azure, Angular, Kubernetes.",61.65997385978699,"aws, docker","https://aws.amazon.com/training/, https://www.docker.com/101-tutorial"
JID061,"DevOps Engineer -  NoSQL, Python, CI/CD, React, Java, Angular, Kubernetes, AWS, SQL, CSS.","CSS, REST APIs, Linux, Machine Learning, AWS, CI/CD, Angular, C#.",60.752904415130615,"react, python, java, sql","https://reactjs.org/docs/getting-started.html, https://www.learnpython.org/, https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/"
JID006,"Mobile Developer -  HTML, SQL, Node.js, Agile Methodologies, NoSQL, Java, Linux.","Azure, JavaScript, Docker, React, CSS, Angular, NoSQL, HTML, REST APIs.",60.69772243499756,"linux, java, sql","https://www.edx.org/learn/linux, https://www.javatpoint.com/java-tutorial, https://www.w3schools.com/sql/"
JID086,"DevOps Engineer -  Angular, Git, Agile Methodologies, Machine Learning, Node.js, Kubernetes, AWS, HTML.","C++, SQL, React, Angular, Python, Kubernetes.",60.56463122367859,aws,https://aws.amazon.com/training/
JID047,"Mobile Developer -  Agile Methodologies, Java, React, CI/CD, Data Analysis, Machine Learning, AWS, GCP, Kubernetes, SQL.","Kubernetes, GCP, SQL, JavaScript, Angular, Git, AWS, React, Azure, NoSQL.",60.30372381210327,java,https://www.javatpoint.com/java-tutorial
JID032,"Software Engineer -  CSS, CI/CD, HTML, REST APIs, C++, Linux, Python.","AWS, CSS, Agile Methodologies, Node.js, Angular, NoSQL, REST APIs, GCP, C#, HTML.",59.316420555114746,"linux, python","https://www.edx.org/learn/linux, https://www.learnpython.org/"
