job_id,job_description,resume
JID001,"Backend Developer -  Azure, Java, Docker, SQL, GCP, JavaScript.","Agile Methodologies, Git, REST APIs, AWS, React, Linux, CI/CD, SQL, NoSQL."
JID002,"Cloud Engineer -  Linux, JavaScript, SQL, GCP, Machine Learning, Data Analysis, C++, REST APIs, Git.","HTML, NoSQL, React, Agile Methodologies, Docker, CI/CD, AWS, Machine Learning, Kubernetes, Data Analysis."
JID003,"DevOps Engineer -  JavaScript, Agile Methodologies, CI/CD, REST APIs, Python.","REST APIs, SQL, Machine Learning, Azure, Kubernetes, C#."
JID004,"Software Engineer -  NoSQL, Linux, AWS, C#, Docker, Machine Learning, SQL.","Docker, Angular, SQL, HTML, Azure, Machine Learning."
JID005,"DevOps Engineer -  Azure, CI/CD, Docker, Data Analysis, SQL, GCP, Node.js, REST APIs.","HTML, Machine Learning, Python, NoSQL, Agile Methodologies, Linux, Kubernetes, SQL, C++."
JID006,"Mobile Developer -  HTML, SQL, Node.js, Agile Methodologies, NoSQL, Java, Linux.","Azure, JavaScript, Docker, React, CSS, Angular, NoSQL, HTML, REST APIs."
JID007,"Embedded Systems Engineer -  Data Analysis, CSS, GCP, REST APIs, SQL, HTML, C++, React, Linux.","Node.js, Docker, Data Analysis, Python, Kubernetes, HTML, CI/CD, Java."
JID008,"Frontend Developer -  React, Git, GCP, C++, REST APIs.","CI/CD, Node.js, Kubernetes, Linux, React, C++, HTML."
JID009,"QA Engineer -  Agile Methodologies, JavaScript, C++, Data Analysis, Java, Machine Learning.","Data Analysis, GCP, Kubernetes, Node.js, Git, C++, Angular, C#, SQL, Docker."
JID010,"Database Administrator -  Python, SQL, Node.js, REST APIs, NoSQL, GCP, Java.","Git, React, HTML, Azure, NoSQL."
JID011,"Full Stack Developer -  JavaScript, CI/CD, Python, GCP, Azure, Docker, Java, Node.js.","Linux, C#, React, SQL, Python, CSS, Data Analysis, REST APIs, Java."
JID012,"QA Engineer -  GCP, CI/CD, Agile Methodologies, SQL, Docker, Java, Linux.","Machine Learning, C++, CI/CD, Java, AWS, NoSQL, React, HTML, CSS."
JID013,"Database Administrator -  C#, C++, Angular, Git, Kubernetes, Docker, CI/CD.","GCP, C++, React, Agile Methodologies, Machine Learning, Data Analysis."
JID014,"Embedded Systems Engineer -  NoSQL, Docker, Kubernetes, Node.js, C++, CSS, Agile Methodologies.","AWS, Node.js, Angular, Azure, Git, C++, C#, CSS, Java."
JID015,"Data Engineer -  CI/CD, C#, Python, Machine Learning, Node.js, JavaScript, SQL.","Linux, AWS, Agile Methodologies, GCP, Git."
JID016,"Cloud Engineer -  Data Analysis, Azure, C++, Kubernetes, Python, GCP, Angular, React.","SQL, AWS, REST APIs, GCP, Docker."
JID017,"Frontend Developer -  JavaScript, Node.js, AWS, Python, C++.","Docker, Git, HTML, NoSQL, C++."
JID018,"DevOps Engineer -  C#, React, Angular, CI/CD, Docker, Node.js.","REST APIs, JavaScript, AWS, Kubernetes, CSS, HTML, GCP, React, Docker."
JID019,"Machine Learning Engineer -  C#, JavaScript, React, HTML, GCP, Angular, C++, Linux.","GCP, Angular, C#, Java, Git, Agile Methodologies."
JID020,"Embedded Systems Engineer -  SQL, Git, REST APIs, Docker, CI/CD.","Data Analysis, C++, Angular, Python, CI/CD, CSS, REST APIs."
JID021,"Embedded Systems Engineer -  GCP, AWS, Azure, NoSQL, C++, CSS.","NoSQL, SQL, Python, GCP, Docker, React."
JID022,"Machine Learning Engineer -  NoSQL, C#, Linux, Kubernetes, Node.js, C++, Data Analysis, Angular, JavaScript, HTML.","REST APIs, C#, Git, Python, HTML, Azure, Kubernetes."
JID023,"Machine Learning Engineer -  CI/CD, Node.js, REST APIs, NoSQL, Machine Learning.","Data Analysis, Java, React, AWS, JavaScript."
JID024,"Cloud Engineer -  REST APIs, GCP, Linux, Agile Methodologies, Node.js, AWS, Data Analysis, NoSQL, Angular, Java.","SQL, Docker, Data Analysis, Git, HTML, Java, Machine Learning, JavaScript."
JID025,"Machine Learning Engineer -  Docker, Data Analysis, CSS, SQL, CI/CD, JavaScript, Linux, C#, Angular, C++.","Python, Azure, REST APIs, HTML, Git, AWS, C++."
JID026,"QA Engineer -  CI/CD, AWS, Azure, Docker, NoSQL, GCP, Data Analysis.","Data Analysis, REST APIs, React, Java, Azure, Angular, Kubernetes."
JID027,"QA Engineer -  NoSQL, Machine Learning, Azure, Kubernetes, CSS, HTML, C#.","Java, Agile Methodologies, AWS, Kubernetes, C++."
JID028,"Embedded Systems Engineer -  GCP, CSS, C#, React, Kubernetes, SQL, Agile Methodologies, Java.","Agile Methodologies, GCP, AWS, CSS, Linux, C#, React, Angular, Kubernetes."
JID029,"Data Engineer -  C++, Docker, Python, HTML, Node.js.","C++, AWS, GCP, REST APIs, CSS, CI/CD, Java, Angular."
JID030,"Database Administrator -  CI/CD, Java, AWS, Agile Methodologies, Git, React.","Machine Learning, Angular, React, Docker, CI/CD, NoSQL, Azure, Java."
JID031,"Mobile Developer -  CI/CD, Python, Git, GCP, HTML, REST APIs, Kubernetes, AWS, Docker, NoSQL.","NoSQL, Linux, Azure, Python, REST APIs, Machine Learning, C#, CI/CD."
JID032,"Software Engineer -  CSS, CI/CD, HTML, REST APIs, C++, Linux, Python.","AWS, CSS, Agile Methodologies, Node.js, Angular, NoSQL, REST APIs, GCP, C#, HTML."
JID033,"Database Administrator -  JavaScript, C#, Python, Machine Learning, Git, Java, Azure, Kubernetes, REST APIs, Angular.","Docker, NoSQL, Azure, Kubernetes, Linux, REST APIs, Node.js, C#, Agile Methodologies."
