Job Description,Resume Excerpt,Match Label
"Looking for a software developer with 3+ years of experience in Python and Django, familiar with RESTful APIs.","Experienced software developer with 4 years in Python, Django, and REST API development.",1
"Seeking a junior front-end developer proficient in HTML, CSS, JavaScript, and React.js.","Entry-level front-end developer skilled in HTML, CSS, JavaScript, and React.",1
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
"Full-stack developer needed with expertise in Angular, Node.js, and MySQL.",Full-stack developer with experience in Angular and MySQL but limited experience with Node.js.,0
"We require a software engineer specialized in C++ and multithreading, with at least 5 years of experience.","Software engineer with a strong background in C++ and 6 years of experience, including multithreaded projects.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
"Hiring backend engineer skilled in Node.js, Express, and MongoDB, 2+ years of experience preferred.","Software engineer with 2 years of experience in backend development using Node.js, Express, and MongoDB.",1
Looking for a mobile developer experienced with Android SDK and Java.,Mobile developer with experience in Android SDK and Kotlin.,0
